NU_INSCRICAO;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;TP_PRESENCA_CN;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
'190003065360';42;F;4;1;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.4;513.5;529.6;404.6;1;580;A;B;F;F;4;B;A;B;C;A;A;B;A;B;A;B;A;B;B;A;A;C;A;A;B
'190003065363';21;F;1;3;1;4;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;E;G;A;D;2;C;A;B;D;A;A;B;A;B;A;A;A;A;A;A;A;C;A;B;B
'190003065369';19;M;1;2;1;0;2;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;356.2;433.8;402.9;424.8;0;600;C;B;C;B;2;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
'190003065370';17;M;1;3;1;0;3;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;361.5;526.4;427.2;564.2;0;480;E;E;C;B;4;J;A;E;E;B;A;C;C;C;A;B;A;A;D;A;B;E;B;B;B
'190003065371';17;F;1;3;2;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;398;384.1;401.5;375.1;1;400;D;E;A;B;4;B;A;B;C;A;A;B;B;A;A;B;A;A;C;B;A;D;A;A;B
'190003065376';18;F;1;1;4;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;450.9;550.6;598.6;487.3;1;0;B;F;D;D;4;B;A;D;C;A;A;B;B;A;A;B;A;A;D;B;A;E;A;B;B
'190003065383';19;F;1;1;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;H;F;B;F;3;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;C;A;B;B
'190003045303';18;M;1;3;2;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;425.4;367.3;;0;0;H;C;A;B;4;C;A;B;B;A;B;B;B;A;A;A;A;A;B;B;A;B;A;B;B
'190003045304';20;F;1;2;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;371.5;415.6;515.7;403.5;1;600;A;B;A;B;3;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;D;A;B;A
'190003062335';16;F;1;2;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;E;E;C;B;5;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
'190003062339';25;M;1;2;1;3;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;B;A;C;B;7;C;A;B;E;A;D;B;A;A;A;A;A;A;B;A;A;E;A;B;B
'190003062342';17;F;1;3;1;0;2;;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;482;516.3;524.1;437.8;0;560;C;C;A;A;4;E;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;B;A;B
'190003062350';17;M;1;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;576;543.6;564.3;587.2;0;660;F;F;D;B;5;C;A;C;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;A
'190003062356';22;F;1;3;1;5;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;H;B;F;B;1;B;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;B;A;A;B
'190003062358';18;F;1;4;2;0;3;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;441.7;486.2;485.3;456.1;0;480;E;G;D;D;5;H;A;C;D;B;A;B;B;B;A;B;A;B;D;A;A;E;A;B;B
'190003062361';40;M;0;3;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;494.9;472.8;485.4;403.9;1;280;H;D;F;B;3;D;A;B;C;A;C;B;A;B;A;A;A;A;B;B;A;C;A;B;B
'190003062364';23;F;1;1;1;5;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;382.4;493.7;398.3;493.3;0;560;A;E;A;B;4;B;A;B;C;A;B;B;A;A;A;A;A;A;A;A;A;C;A;A;B
'190003068042';18;F;1;1;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;483.4;552.1;530.6;565.1;1;700;A;F;C;C;5;C;A;B;C;A;A;A;A;A;A;A;A;A;B;A;A;C;A;A;A
'190003068046';21;F;1;3;1;3;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;H;E;A;D;5;B;A;B;C;A;B;B;A;A;A;A;A;A;A;B;A;C;A;A;B
'190003068048';22;F;1;3;1;4;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;445.6;451.3;503.3;514.4;1;720;C;C;F;B;2;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;C;A;B;B
'190003068050';17;F;1;3;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;571.8;573.4;599.7;573.3;0;780;E;F;D;D;4;E;A;C;C;A;B;B;B;A;A;A;A;A;B;A;A;B;B;A;B
'190003068051';18;M;1;3;1;0;2;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481;588.9;543.2;519;0;720;D;E;B;D;3;B;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A
'190003068052';36;F;1;3;1;13;1;2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;H;H;B;C;3;A;A;B;C;A;B;B;A;B;A;B;A;A;B;A;A;B;A;A;B
'190003068054';20;F;2;3;1;3;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;474.1;368.7;477.9;410.5;0;500;C;E;B;B;7;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A
'190003068058';28;M;0;3;1;6;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;B;B;C;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;A
'190003068059';25;M;1;1;1;9;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;564.4;574.3;586.8;683.7;0;680;F;G;D;E;3;H;A;C;D;B;A;B;A;B;A;B;A;A;C;A;A;D;A;C;B
'190003068061';51;F;1;3;1;11;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;B;B;A;A;2;C;A;B;D;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;A
'190003068064';18;F;1;1;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;488.8;497.3;499.1;409.7;0;840;B;E;C;B;3;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
'190003068068';23;F;1;3;1;5;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;436.7;396.7;453.4;388.1;1;520;B;B;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
'190003068070';29;F;2;3;1;12;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;396.3;559.5;538.4;410;1;620;E;G;B;D;2;C;A;C;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;A;B
'190003068072';18;F;1;2;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;447.7;583.8;582.1;630.4;0;480;C;D;F;F;3;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
'190003068082';20;M;1;2;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;485.5;513.4;497.9;456.5;1;520;B;B;C;A;6;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190003068085';21;F;1;2;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;380.6;420;441.8;443.1;0;600;B;E;A;B;7;C;A;A;C;A;B;B;A;A;A;A;A;A;A;A;A;B;A;A;A
'190003045144';24;F;3;4;1;7;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;445.6;422.7;527.4;477.4;1;580;B;G;D;D;8;H;A;B;D;A;B;B;A;B;A;A;A;A;B;A;A;D;A;B;B
'190003045146';18;F;1;3;1;0;2;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;363;446.6;452.2;384.2;0;380;H;B;F;B;4;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B
'190003045147';21;F;1;4;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;B;C;A;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190003045148';19;M;1;3;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;399.8;399.1;432.5;364.4;1;460;E;E;C;B;4;D;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;C;A;A;A
'190003045150';23;F;1;1;1;5;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;B;D;A;B;6;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190003045157';17;M;1;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;461.5;542.2;550.4;503.4;0;600;E;D;C;B;4;C;A;B;C;A;A;B;A;B;A;A;A;A;A;A;A;E;A;B;B
'190003045173';23;F;1;3;1;6;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;511.7;511.5;500.2;426.5;1;520;E;E;B;B;6;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;D;A;B;B
'190003045183';21;M;1;5;1;0;2;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;419.4;418.5;401.8;474.5;0;400;C;C;F;F;2;B;A;B;B;A;A;B;A;B;A;A;A;A;A;A;A;C;A;A;B
'190003045187';17;F;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;393.3;484.3;514.4;539.8;1;620;B;B;C;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;C;A;A;A
'190003045188';30;M;3;3;1;12;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;D;E;A;C;1;G;A;B;C;A;B;B;A;B;B;A;A;A;B;A;A;B;A;A;B
'190003045231';25;F;1;3;1;7;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;D;E;A;A;4;C;A;B;C;B;B;B;A;B;A;A;A;A;B;A;A;D;A;B;B
'190003045232';28;F;3;1;1;6;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;508.5;495.9;;1;440;B;B;A;A;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
'190003045233';19;M;1;3;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;396.9;447.3;494;439.5;1;540;B;D;C;B;2;B;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190003076847';17;M;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;625.8;650.9;626.1;631.6;0;720;F;F;E;E;4;F;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B
'190003045236';45;M;1;3;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;340.5;462.3;405.3;396.5;1;520;A;A;F;A;2;B;A;C;C;A;B;B;B;B;A;B;A;A;B;A;A;C;A;B;B
'190003045245';22;F;1;3;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;B;B;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
'190003045246';18;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;396.4;410.3;485.2;517.9;1;460;H;E;F;B;3;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;D;A;A;B
'190003062419';18;F;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;482.8;430;472.2;403.2;1;400;E;E;B;B;5;B;A;B;E;A;A;B;B;A;A;A;A;A;A;A;A;D;A;B;B
'190003062435';22;F;1;3;1;6;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;391.3;485.8;522.1;401.2;1;580;B;E;B;B;5;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190003062440';16;F;1;1;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;386.7;604.9;574.4;567.1;0;680;F;F;D;F;3;I;A;B;D;B;A;B;B;B;A;B;A;A;B;B;A;D;A;C;B
'190003062447';17;M;1;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;484.3;417.5;492.4;418.9;0;280;D;D;C;D;4;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
'190003062449';16;M;1;2;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;527.3;521.7;499.2;433.5;1;600;E;E;A;B;4;B;A;B;D;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
'190003062452';17;F;1;3;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;576.9;568.5;597.7;601.7;1;720;F;G;D;D;3;I;B;C;C;B;B;B;B;B;B;B;A;A;B;B;A;D;A;B;B
'190003062456';18;F;1;4;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;497.4;470.3;547.3;568.5;1;740;A;B;A;B;4;E;A;B;D;A;A;B;B;A;A;A;A;A;B;A;A;E;A;B;B
'190003062460';17;F;1;3;1;0;2;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;425.2;493;481.4;368;1;560;B;E;C;B;5;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
'190003065277';25;M;0;3;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;478.9;514.4;;1;520;B;E;D;B;3;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
'190003065280';18;M;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;506.2;600.7;573.8;712.3;0;640;C;E;C;F;3;C;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;C;A;B;B
'190003065282';35;M;2;2;1;8;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;B;H;C;B;4;B;A;B;C;B;B;A;A;B;A;B;A;A;B;A;A;C;A;A;B
'190003065286';20;F;1;1;1;3;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;C;B;B;F;3;C;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;D;A;B;B
'190003065290';18;F;1;1;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;651;655.6;592.4;703.5;0;920;F;E;E;D;5;M;D;D;E;C;A;B;B;B;A;B;A;A;D;A;A;E;A;C;B
'190003065298';19;F;1;2;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;A;D;A;A;2;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
'190003065305';19;M;0;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;485.9;374;425;410.4;1;520;E;E;F;D;4;E;A;B;C;A;C;B;B;B;B;B;A;A;C;B;B;E;A;B;B
'190003065307';30;M;1;1;1;11;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;526.8;501.2;533;406.7;0;620;C;B;A;A;2;E;A;B;C;B;C;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190003065315';20;M;1;3;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;B;C;A;A;3;B;D;B;C;A;A;B;A;A;A;A;A;A;C;A;A;D;A;A;A
'190003065319';18;M;1;3;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;618.9;605.4;595.3;658;0;780;F;F;D;D;6;D;A;B;D;B;A;B;B;B;B;B;A;A;B;A;A;E;A;B;B
'190003065320';23;F;1;3;1;3;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;E;C;B;B;4;C;A;B;C;A;B;B;A;B;A;B;A;A;A;A;A;D;A;A;B
'190003065323';25;F;0;3;1;7;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;485.9;509;;1;560;B;E;B;B;3;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
'190003065324';19;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;605.8;637.5;604.6;633.6;0;780;E;F;C;D;3;D;A;B;B;A;B;B;A;A;A;B;A;A;C;B;A;C;A;B;B
'190003065328';17;F;1;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;483.5;504.4;542.2;480.8;1;580;H;F;C;D;6;C;A;C;E;A;B;B;A;A;A;A;A;A;B;B;A;E;A;A;B
'190003045251';17;F;0;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;543;529.7;466.1;606.8;1;700;E;F;C;B;4;D;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190003045256';34;F;2;2;1;11;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;459.5;379.9;498.2;404.6;1;560;B;B;A;A;4;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190003045257';17;M;1;3;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.9;620.5;589.9;671.4;0;940;G;E;D;C;4;I;A;B;C;B;B;B;B;B;A;B;A;A;B;A;A;D;A;B;B
'190003045259';16;M;1;2;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;469.3;431.2;522.7;481.7;0;640;H;E;B;B;3;E;A;B;A;A;B;B;B;B;A;B;A;A;C;A;A;D;A;A;B
'190003045262';19;F;1;3;1;3;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;337.7;411.9;462.3;377.3;1;460;D;D;A;B;4;B;A;B;D;B;B;B;B;A;A;B;A;A;B;B;B;D;A;A;A
'190003045265';20;F;1;3;1;3;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;579.7;657.5;626.1;575.3;0;620;E;F;B;B;5;D;A;B;C;A;B;B;A;B;A;B;A;A;C;B;A;E;A;B;B
'190003045266';18;F;1;2;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;541.5;499.3;558.6;446.7;0;900;G;G;D;E;3;F;A;B;D;A;B;B;A;B;B;A;A;A;B;B;B;D;A;A;B
'190003062374';27;F;2;3;1;10;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;E;E;B;B;3;E;A;B;C;A;B;B;B;B;A;B;A;A;B;A;A;C;A;B;B
'190003062375';28;F;0;3;1;7;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;426.8;419.1;484.9;414.2;0;400;A;B;F;B;5;C;D;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;B;B
'190003062389';18;F;1;3;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;531.6;530.1;504.7;446.3;0;680;C;G;C;D;4;F;A;C;D;B;A;B;B;B;A;B;A;B;B;B;A;E;A;B;B
'190003062390';19;F;1;3;1;0;2;;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;E;F;C;D;5;B;A;B;C;A;A;B;A;B;A;A;A;A;A;A;A;D;A;A;B
'190003062394';18;F;1;2;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;C;E;C;B;5;E;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;D;A;A;A
'190003062412';18;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;449.8;548.3;530;440.4;1;620;B;E;B;B;5;G;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;C;A;B;B
'190003068092';16;M;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;601.9;590.3;596.2;704.3;1;0;D;F;C;D;2;E;A;B;C;A;A;B;B;A;A;B;A;A;B;A;A;C;A;A;B
'190003068098';41;F;2;2;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;413.6;469.5;366.8;425.1;1;540;C;B;B;B;3;C;A;B;C;A;A;B;A;A;A;B;A;A;C;B;B;D;B;A;B
'190003068100';17;M;1;1;1;0;2;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;635.9;619.5;557.4;650.4;0;680;F;G;C;E;5;N;C;D;D;B;A;B;B;B;A;B;A;A;C;A;B;D;A;D;B
'190003068104';18;M;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;529.2;546;510.9;472.2;1;640;E;E;B;B;2;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;B;A
'190003068108';19;F;1;3;1;0;2;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;460.2;384.1;512.3;417.8;0;580;B;E;B;B;4;C;A;B;C;B;B;B;B;B;A;B;A;A;B;A;A;D;A;A;B
'190003068109';18;F;1;3;1;1;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;471.4;488.6;;1;440;D;F;A;F;2;B;A;B;C;B;A;B;A;A;A;B;A;A;B;B;A;C;A;A;B
'190003068112';22;F;1;2;1;6;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;538.7;586.3;554.9;551.7;1;760;C;D;A;A;1;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
'190003068116';25;F;2;3;1;8;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;419.4;452.2;483.8;451.7;1;740;B;E;A;C;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
'190003068118';17;M;1;2;1;0;2;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;461.5;498.1;485.3;635.2;0;580;B;C;B;C;4;B;A;C;D;A;B;B;A;A;A;A;A;A;B;B;A;C;A;B;B
'190003068119';20;F;1;5;1;3;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;452.9;439.7;480.3;459.3;0;600;B;E;B;B;3;C;A;B;C;A;A;B;A;A;A;B;A;A;D;B;B;D;A;A;B
'190003068124';25;M;1;3;1;6;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;526.8;511.9;514.1;369.7;1;600;C;E;C;F;3;C;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;C;A;B;B
'190003068131';24;F;1;3;1;6;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;422.8;544.7;538.9;540.1;1;600;B;B;A;A;4;D;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
'190003068137';22;M;1;2;1;3;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;478.6;439.7;439.2;419.7;1;600;A;A;B;B;1;C;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;B;A;B;B
'190003068139';22;M;2;3;1;4;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;405.9;561.4;511.1;531.6;1;360;D;E;C;B;2;B;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
'190003045198';44;F;2;3;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;420;540.5;533.5;469.9;1;640;A;C;A;F;3;C;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;C;A;B;B
'190003045199';18;M;1;2;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;379.9;417.3;437.3;446.9;1;340;A;A;B;B;4;C;A;B;D;A;C;B;A;A;A;B;A;A;B;B;A;C;A;A;B
'190003045202';32;M;2;2;1;12;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;C;E;C;A;2;D;A;B;B;A;A;B;B;B;A;A;B;A;B;B;A;C;A;B;B
'190003045219';15;F;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;508;494.5;;1;760;E;G;D;D;2;E;A;B;C;B;B;B;B;B;A;B;A;A;C;A;A;C;A;B;B
'190003045220';38;M;2;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;531.7;520.7;;0;280;A;B;A;F;7;E;A;C;C;B;B;B;A;B;A;B;A;A;B;A;A;E;A;B;B
'190003045224';20;M;1;3;1;3;1;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;635.4;703.4;636.9;859.9;0;860;G;G;E;D;5;M;D;D;E;B;A;C;B;B;B;B;A;B;E;A;B;E;B;C;B
'190003048322';17;F;1;2;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;385.7;556.6;518.2;530.7;1;640;E;E;C;B;5;C;A;B;B;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;A
