NU_INSCRICAO;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;TP_PRESENCA_CN;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
'190001202486';34;F;1;3;1;11;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;H;B;F;B;2;A;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
'190001202487';19;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;394.3;553.3;499.5;370;0;360;H;E;C;C;6;C;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
'190001212344';19;F;1;2;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;538.7;542.7;588.7;383.7;1;720;H;H;A;A;7;E;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190001212357';30;M;1;3;1;12;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;514.6;589.2;528.9;608.3;0;580;A;D;A;A;2;C;A;C;C;A;A;B;A;B;A;B;A;A;B;B;A;C;A;B;B
'190001212368';19;F;1;3;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;429.7;518.3;547.4;599.2;0;540;B;D;A;A;3;C;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190001212369';20;F;1;3;0;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;372.1;420.1;369.8;413.6;1;500;H;E;F;D;4;C;A;B;B;A;B;B;B;A;A;A;A;A;B;A;A;B;A;A;B
'190001212372';29;M;1;1;1;11;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;413.4;473.4;484.7;490.5;1;540;C;A;A;B;1;D;A;C;C;B;A;B;A;B;A;B;A;B;B;A;A;B;A;B;B
'190001212375';21;M;1;1;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;396.3;572;526.9;596.2;1;660;B;F;A;D;4;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
'190001214980';19;F;1;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;G;E;F;B;4;B;A;C;C;B;B;B;A;B;A;B;A;A;B;A;B;D;B;B;B
'190001214983';36;F;2;3;1;7;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;492.3;554.5;523.2;411.6;0;440;A;B;C;C;6;C;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
'190001214988';16;F;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;405.7;360.6;522.8;431.2;0;540;B;E;F;B;4;C;A;D;D;A;C;B;A;B;B;B;A;A;B;B;A;E;A;B;A
'190001177068';18;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;377.2;433.7;521;589;0;720;E;F;B;B;5;D;A;B;C;B;B;B;B;B;A;B;A;A;B;A;A;D;A;B;B
'190001177069';19;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;437.6;522.8;561.5;435.3;1;560;D;E;D;A;3;C;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;A
'190001177075';18;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;397.2;435.3;510.3;470;1;760;A;E;F;B;3;B;B;B;C;A;B;B;A;A;A;B;A;A;B;A;A;C;A;A;B
'190001177085';22;F;1;1;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;D;F;B;D;1;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
'190001177094';39;F;0;3;1;5;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;A;A;A;B;3;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
'190001179806';20;M;2;3;1;3;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;511.5;539;518.4;457.1;1;620;G;G;D;D;2;E;A;B;C;A;B;B;B;A;A;A;A;A;B;A;B;C;A;A;B
'190001179808';19;F;1;1;1;2;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;414.4;415.5;391.8;520;0;0;E;E;F;F;7;D;A;B;D;B;B;B;B;B;B;B;A;B;A;A;A;E;A;B;B
'190001179812';19;F;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;445.2;451.4;488.3;398.9;0;680;A;B;B;B;5;A;A;A;C;A;A;A;A;B;A;A;A;A;B;A;A;C;A;A;A
'190001179818';38;F;2;2;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;360.9;417.3;438.9;456.4;1;0;A;A;A;A;4;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;C;A;A;B
'190001179819';16;F;1;3;0;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;486.1;544.2;568.9;425.2;0;780;E;E;B;B;3;B;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;B;A;A;A
'190001214999';33;F;2;1;1;13;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;419.5;540.5;535.1;444.1;0;600;B;B;B;B;2;D;A;B;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;A;A
'190001215011';19;F;1;1;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;C;C;D;D;5;C;A;C;D;B;C;B;A;B;A;A;A;A;B;A;A;D;A;B;B
'190001215016';18;M;0;3;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;436.1;559.5;508.8;453.8;1;580;B;H;A;A;2;B;A;B;C;B;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
'190001215018';21;M;1;3;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;511.6;512.3;486.4;368.6;1;0;C;C;A;A;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;C;B
'190001217686';23;M;1;3;1;6;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;588.3;621;574.9;641.3;1;880;C;E;C;F;4;F;A;B;C;B;C;B;A;B;A;B;A;A;B;A;A;E;A;B;B
'190001217706';16;M;1;3;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;463.1;602.4;585;653.1;0;840;D;D;D;B;4;C;A;B;D;B;A;B;B;B;B;A;A;A;B;A;A;A;A;B;B
'190001217707';18;F;1;3;2;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;425.3;490.4;536.1;425.4;0;540;E;E;B;B;4;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190001217726';18;M;1;1;1;1;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;D;E;C;B;3;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;D;A;B;B
'190001217728';17;F;1;3;2;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;536.8;581.7;565.9;564.9;0;740;F;G;B;B;4;J;A;B;C;A;B;B;A;B;A;A;A;A;B;B;A;E;B;B;B
'190001217737';18;F;1;3;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;535.8;674.8;611.9;695.7;0;940;G;F;D;D;3;I;A;C;C;C;A;B;A;B;A;B;A;B;D;A;A;E;A;D;B
'190001176838';27;F;0;2;1;8;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;H;E;B;B;4;C;A;C;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
'190001176839';31;F;1;3;1;12;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;412.9;567.9;567.3;409.9;1;720;A;A;A;A;3;C;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;A
'190001176856';18;F;1;1;1;2;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.3;496.4;553.4;525.2;0;520;H;D;F;F;5;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;B;B;A;A;A
'190001176858';24;F;1;3;1;8;1;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;530.2;529.8;562.1;547.3;1;600;E;E;D;D;4;E;A;D;E;B;B;B;B;B;B;B;A;A;B;A;B;E;A;D;B
'190001176859';18;M;0;2;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;447.1;508.5;515.5;560.6;0;480;A;A;A;A;5;B;A;B;D;A;C;B;A;A;A;A;A;A;B;B;A;D;A;A;A
'190001176863';16;M;1;2;1;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;497;421.6;432.6;421.9;1;440;E;E;C;B;4;B;A;B;C;A;B;B;A;B;A;B;A;A;B;A;A;C;A;A;B
'190001176867';32;F;1;3;1;6;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;398.7;511.8;535.4;418.2;1;600;C;B;A;C;2;B;A;B;C;A;B;B;B;A;A;B;A;A;A;A;A;B;A;A;A
'190001176874';18;M;3;1;1;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;580.1;628.8;619.2;757.6;0;640;E;F;C;B;4;E;A;C;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
